1341302582220894214,Q,555000,555000
1341303439951847425,Q,759000,759000
1341304666311766016,KO;Q,1052000,1052000
1341305128528310272,REF,1162000,1162000
1341305357637996547,REF,1217000,1217000
1341305916059217921,OK,1350000,1350000
1341307898270511106,OK,1822000,1822000
1341308670341226499,KO,2006000,2006000
1341308913489162241,REF,2064000,2064000
1341310764787904514,,2506000,2506000
1341312251106652160,OK,2860000,2860000
1341312579868782593,Q;REF,2939000,2939000
1341312585052917760,OK,2940000,2940000
1341313443891167234,,3145000,3145000
1341313607401959424,,3184000,3184000
1341314176967426049,OK,3319000,3319000
1341316176614404097,REF,3796000,3796000
1341316993560010754,OK,3991000,3991000
1341319285524877314,,4537000,4537000
1341319368454639616,OK,4557000,4557000
1341319544149839872,OK,4599000,4599000
1341321018061643776,REF,4950000,4950000
1341321118607618050,OK;REF,4974000,4974000
1341321871443300353,KO,5154000,5154000
1341322145612378114,,5219000,5219000
1341322562501046273,,5319000,5319000
1341323923917516801,,5643000,5643000
1341324929699069954,OK,5883000,5883000
1341326284970991617,REF,6206000,6206000
1341327421417644032,KO,6477000,6477000
1341327872041074688,OK,6585000,6585000
1341330513227870216,REF,7214000,7214000
1341331687410688000,KO,7494000,7494000
1341333063847034880,REF,7822000,7822000
1341333239642918912,,7864000,7864000
1341333464327614464,REF,7918000,7918000
1341334010455334912,REF,8048000,8048000
1341335662600056833,REF,8442000,8442000
1341337129926995970,Q,8792000,8792000
1341339375314083840,,9327000,9327000
1341340522087124992,,9601000,9601000
1341341440526397440,REF,9819000,9819000
1341342804493168644,Q;REF,10145000,10145000
1341344795063689217,REF,10619000,10619000
1341347119827959810,,11174000,11174000
