1341666005198790656,REF,813000,813000
1341667060393385985,OK,1064000,1064000
1341667874457448448,OK,1258000,1258000
1341669754520678403,REF,1707000,1707000
1341670120079450112,,1794000,1794000
1341674500958642177,REF,2838000,2838000
1341675295326265345,KO,3028000,3028000
1341677108880404482,OK,3460000,3460000
1341678129383956480,REF,3703000,3703000
1341678683048833026,REF,3835000,3835000
1341679112767873025,REF,3938000,3938000
1341679567073923072,REF,4046000,4046000
1341680132017287168,REF,4181000,4181000
1341682172110008321,REF,4667000,4667000
1341691466230411265,REF,6883000,6883000
1341693854643343360,KO,7453000,7453000
1341694588894011393,KO,7628000,7628000
1341694616261840896,Q,7634000,7634000
1341695272829763584,OK,7791000,7791000
1341695847340400645,Q,7928000,7928000
1341697447656042496,Q,8309000,8309000
1341699667755732997,REF,8839000,8839000
1341703351394836480,REF,9717000,9717000
1341704795867009024,REF,10061000,10061000
1341705738541019137,REF,10286000,10286000
1341707897806462977,REF,10801000,10801000
1341708007776894979,,10827000,10827000
1341708119097954305,REF,10853000,10853000
1341711143933530114,REF,11575000,11575000
1341714111181287424,REF,12282000,12282000
